imei,娱乐,科技,购物,生活,商务,时尚,旅游,游戏,财经,女性,运动,摄影,汽车,美容,母婴育儿,电影,搞笑,健康,教育,音乐,资讯,source
862471032417214,0.733974359,0.741025641,0.78974359,0.963461538,0.933974359,0.932051282,0.704487179,0.726282051,0.867307692,0.903846154,0.722435897,0.734615385,0.98,0,0,0,0,0,0,0,0,youku
869927026280515,0.761904762,0.802777778,0.739087302,0.801190476,0.864484127,0.859126984,0.818849206,0.846825397,0.824007937,0.941865079,0.799801587,0.798809524,0.916269841,0,0,0,0,0,0,0,0,youku
862097039674216,0.761979167,0.765625,0.786458333,0.802083333,0.8953125,0.8828125,0.8140625,0.694791667,0.802083333,0.907291667,0.796354167,0.928125,0.945833333,0,0,0,0,0,0,0,0,youku
862183033009276,0.77962963,0.826851852,0.82962963,0.875,0.765740741,0.896296296,0.79537037,0.824074074,0.808333333,0.962037037,0.673148148,0.840740741,0.901851852,0,0,0,0,0,0,0,0,youku
861530032137030,0.770833333,0.7,0.7875,0.804166667,0.8625,0.7875,0.916666667,0.833333333,0.829166667,0.98,0.7625,0.854166667,0.804166667,0,0,0,0,0,0,0,0,youku
862467033686096,0.777083333,0.704166667,0.764583333,0.885416667,0.98,0.8,0.733333333,0.777083333,0.952083333,0.93125,0.75625,0.720833333,0.989583333,0,0,0,0,0,0,0,0,youku
862565035372381,0.727898551,0.77826087,0.832246377,0.720652174,0.956884058,0.859782609,0.893478261,0.748188406,0.950362319,0.846376812,0.769565217,0.755434783,0.930072464,0,0,0,0,0,0,0,0,youku
862668033167710,0.791666667,0.816666667,0.858333333,0.791666667,0.95,0.816666667,0.616666667,0.808333333,0.766666667,0.98,0.7,0.858333333,0.991666667,0,0,0,0,0,0,0,0,youku
860209034246716,0.789285714,0.810119048,0.749404762,0.81547619,0.825595238,0.832738095,0.738095238,0.813095238,0.8125,0.935119048,0.794642857,0.901190476,0.966666667,0,0,0,0,0,0,0,0,youku
862468036199954,0.827777778,0.822222222,0.755555556,0.808333333,0.75,0.830555556,0.786111111,0.811111111,0.808333333,0.847222222,0.883333333,0.980555556,0.869444444,0,0,0,0,0,0,0,0,youku
351702075975421,0.794444444,0.844444444,0.819444444,0.825,0.786111111,0.788888889,0.755555556,0.855555556,0.775,0.944444444,0.786111111,0.794444444,0.98,0,0,0,0,0,0,0,0,youku
861258033641533,0.775641026,0.719871795,0.783974359,0.847435897,0.846794872,0.81025641,0.907692308,0.808974359,0.808974359,0.989102564,0.771794872,0.862179487,0.844871795,0,0,0,0,0,0,0,0,youku
862022033023038,0.708333333,0.766666667,0.841666667,0.716666667,0.983333333,0.866666667,0.941666667,0.7,0.958333333,0.833333333,0.766666667,0.758333333,0.925,0,0,0,0,0,0,0,0,youku
862097034609217,0.829166667,0.7875,0.729166667,0.808333333,0.966666667,0.9,0.741666667,0.845833333,0.8375,0.98,0.675,0.6375,0.98,0,0,0,0,0,0,0,0,youku
